Thai Sign Language language	tsq	0	su:"Thai Sign Language language"
Tugen language	tuy	0	su:"Tugen language"
Unde Kaili language	unz	0	su:"Unde Kaili language"
Ura (Vanuatu) language	uur	0	su:"Ura (Vanuatu) language"
Sart language	uzn	0	su:"Sart language"
Varhadi-Nagpuri language	vah	0	su:"Varhadi-Nagpuri language"
Dehawali language	vas	0	su:"Dehawali language"
Hayu language	vay	0	su:"Hayu language"
Vayu language	vay	0	su:"Vayu language"
Veddah (Sinhalese) language	ved	0	su:"Veddah (Sinhalese) language"
Walamo language	wal	0	su:"Walamo language"
Washo language	was	0	su:"Washo language"
Wagdi language	wbr	0	su:"Wagdi language"
Wewewa language	wew	0	su:"Wewewa language"
Wakawaka language	wkw	0	su:"Wakawaka language"
Walmatjari language	wmt	0	su:"Walmatjari language"
Wanetsi language	wne	0	su:"Wanetsi language"
Woleai language	woe	0	su:"Woleai language"
Lebou language	wol	0	su:"Lebou language"
Mewati language	wtm	0	su:"Mewati language"
Warrwa language	wwr	0	su:"Warrwa language"
Torgut language	xal	0	su:"Torgut language"
Armenian, Classical language	xcl	0	su:"Armenian, Classical language"
Khetrani language	xhe	0	su:"Khetrani language"
Mendalam Kayan language	xkd	0	su:"Mendalam Kayan language"
Ngologa language	xkv	0	su:"Ngologa language"
Tsimihety language	xmw	0	su:"Tsimihety language"
Kangri language	xnr	0	su:"Kangri language"
Tina Sambal language	xsb	0	su:"Tina Sambal language"
Nunuma language	xsm	0	su:"Nunuma language"
Yaka (Congo and Angola) language	yaf	0	su:"Yaka (Congo and Angola) language"
Yamba (Cameroon and Nigeria) language	yam	0	su:"Yamba (Cameroon and Nigeria) language"
Yao (Africa) language	yao	0	su:"Yao (Africa) language"
Yerava language	yea	0	su:"Yerava language"
Yerukala language	yeu	0	su:"Yerukala language"
Hua (Papua New Guinea) language	ygr	0	su:"Hua (Papua New Guinea) language"
Jindjibandji language	yij	0	su:"Jindjibandji language"
Yasa language	yko	0	su:"Yasa language"
Yombe (Congo and Angola) language	yom	0	su:"Yombe (Congo and Angola) language"
Ijebu language	yor	0	su:"Ijebu language"
Forest Nenets language	yrk	0	su:"Forest Nenets language"
Deli language	zlm	0	su:"Deli language"
Sambas language	zlm	0	su:"Sambas language"
Margany language	zmc	0	su:"Margany language"
Maranungku language	zmr	0	su:"Maranungku language"
