LCCN	LCSH	Identifier	Name
sh2003003111	Ogbronuagum language	ogu	Ogbronuagum
sh85094247	Oghuz language	ozn	Northern Uzbek
sh85094425	Oirat language	xal	Kalmyk
sh85024429	Ojibwa language	oji	Ojibwa
sh85094462	Okanagan language	oka	Okanagan
sh85094486	Okrika language	okr	Kirike
sh85094489	Oksapmin language	opm	Oksapmin
sh86003727	Olcha language	ulc	Ulch
sh85094550	Old Norse language	non	Old Norse
sh85094559	Old Persian language	peo	Old Persian (ca. 600-400 B.C.)
sh85094563	Old Saxon language	osx	Old Saxon
sh85094570	Old Turkic language	otk	Old Turkish
sh85094637	Olo language	ong	Olo
sh85094638	Olonets language	olo	Livvi
sh96003718	Oluta language	plo	Oluta Popoluca
sh85094669	Omaha language	oma	Omaha-Ponca
sh85094677	Ombo language	oml	Ombo
sh85094715	Ona language	ona	Ona
sh85094781	Oneida language	one	Oneida
sh89006577	Önge language	oon	Önge
sh92005781	Ono language	ons	Ono
sh85094817	Onondaga language	ono	Onondaga
sh88001780	Oowekyala language	hei	Heiltsuk
sh85094865	Opata language	opt	Opata
sh85095408	Ordos language	mvf	Peripheral Mongolian
sh85033287	Orejón language	ore	Orejón
sh85095667	Oriya language	ori	Oriya
sh2001001246	Orma language	orc	Orma
sh98003899	Ormu language	orz	Ormu
sh87000267	Ormuri language	oru	Ormuri
sh85095733	Oroch language	oac	Oroch
sh85095741	Orok language	oaa	Orok
sh85095742	Orokaiva language	okv	Orokaiva
sh85095743	Orokolo language	oro	Orokolo
sh85052810	Oromo language	orm	Oromo
sh93007635	Oron language	enw	Enwan (Akwa Ibom State)
sh85095736	Oroqen language	orh	Oroqen
sh89006670	Orya language	ury	Orya
sh85095864	Osage language	osa	Osage
sh2001007071	Oscan language	osc	Oscan
sh87003107	Osing language	osi	Osing
sh85095945	Ossetic language	oss	Ossetian
sh93004804	Ot Danum language	otd	Ot Danum
sh85096041	Oto language	iow	Iowa-Oto
sh85096089	Ottawa language	otw	Ottawa
sh90004184	Ouargla language	oua	Tagargrent
sh96007809	Ozumacín language	chz	Ozumacín Chinantec
sh85096409	Paama language	pma	Paama
sh90002818	Pacific Gulf Yupik language	ems	Pacific Gulf Yupik
sh85096538	Pacoh language	pac	Pacoh
sh87000287	Padam language	adi	Adi
sh85096544	Padang language	dip	Northeastern Dinka
sh87007477	Paduko language	pbi	Parkwa
sh85096570	Paez language	pbb	Páez
sh85096602	Pahlavi language	pal	Pahlavi
sh85096605	Pahri language	new	Newari
sh85096611	Paici language	pri	Paicî
sh98004672	Pailibo language	adi	Adi
sh91000630	Paipai language	ppi	Paipai
sh85096867	Paite language	pck	Paite Chin
sh88000337	Paiwan language	pwn	Paiwan
sh95008141	Pakaasnovos language	pav	Pakaásnovos
sh93003391	Paku language	pku	Paku
sh85096908	Pala language	gfk	Patpatar
sh85096957	Palaic language	plq	Palaic
sh86004813	Palan language	kpy	Koryak
sh85096982	Palauan language	pau	Palauan
sh85097195	Pali language	pli	Pali
sh85097199	Palicur language	plu	Palikúr
sh85097279	Pamoa language	tav	Tatuyo
sh95010211	Pamona language	pmf	Pamona
sh85097283	Pampanga language	pam	Pampanga
sh89003728	Panamint language	par	Panamint
