# LCSH data (09-09-2009)		
# Identifier	NameType	NameString
bru	sn	Bru
brv	sn	Bru
bru	sn	Bru language
brv	sn	Bru language
bzh	sn	Buang
mmo	sn	Buang
bzh	sn	Buang language
mmo	sn	Buang language
bvb	sn	Bube
bvb	sn	Bube language
buw	sn	Bubi (Gabon)
buw	sn	Bubi language (Gabon)
buu	sn	Budu
buu	sn	Budu language
bdk	sn	Budukh
bdk	sn	Budukh language
bdm	sn	Buduma
bdm	sn	Buduma language
bug	sn	Bugis
bug	sn	Bugis language
bgt	sn	Bugotu
bgt	sn	Bugotu language
bgg	sn	Bugun
bgg	sn	Bugun language
buo	sn	Buin
buo	sn	Buin language
sdo	sn	Bukar Sadong
sdo	sn	Bukar Sadong language
buk	sn	Bukawa
buk	sn	Bukawa language
bxk	sn	Bukusu
bxk	sn	Bukusu dialect
bul	sn	Bulgarian
bul	sn	Bulgarian language
bwu	sn	Buli
bwu	sn	Buli language
bum	sn	Bulu
bum	sn	Bulu language
bck	sn	Bunaba
bck	sn	Bunaba language
bfn	sn	Bunak
bfn	sn	Bunak language
bdd	sn	Bunama
bdd	sn	Bunama language
bns	sn	Bundeli
bns	sn	Bundeli dialect
swu	sn	Bune Bonda
swu	sn	Bune Bonda dialect
bkz	sn	Bungku
bkz	sn	Bungku language
bnn	sn	Bunun
bnn	sn	Bunun language
blf	sn	Buol
blf	sn	Buol language
bvr	sn	Burarra
bvr	sn	Burarra language
bua	sn	Buriat
bua	sn	Buriat language
bji	sn	Burji
bji	sn	Burji language
mya	sn	Burmese
mya	sn	Burmese language
mhs	sn	Buru
mhs	sn	Buru language
bmu	sn	Burum
bmu	sn	Burum (Papua New Guinea)
bmu	sn	Burum language (Papua New Guinea)
bds	sn	Burunge
bds	sn	Burunge language
bsk	sn	Burushaski
bsk	sn	Burushaski language
bqp	sn	Busa
bus	sn	Busa
bqp	sn	Busa language
bus	sn	Busa language
buf	sn	Bushoong
buf	sn	Bushoong language
bgk	sn	Buxing
bgk	sn	Buxing anguage
