Asia	Indonesia	beu	Trans-New Guinea	11000
Africa	Cote dIvoire	bev	Niger-Congo	130000
Asia	Indonesia	bew	Austronesian	2700000
Africa	Sudan	bex	Nilo-Saharan	100000
Pacific	Papua New Guinea	bey	Torricelli	2200
Africa	Tanzania	bez	Niger-Congo	670000
Africa	Sudan	bfa	Nilo-Saharan	480000
Asia	India	bfb	Indo-European	175000
Asia	China	bfc	Sino-Tibetan	40000
Africa	Cameroon	bfd	Niger-Congo	105000
Asia	Indonesia	bfe	Tor-Kwerba	600
Africa	Central African Republic	bff	Niger-Congo	23500
Asia	Indonesia	bfg	Austronesian	3000
Pacific	Papua New Guinea	bfh	South-Central Papuan	670
Europe	United Kingdom	bfi	Deaf sign language	
